id,title,make,model,variant,price,year,mileage,fuelType,transmission,distanceMiles,postcodeArea,source,dealerName,motExpiry,listedAt,valueScore,valueInsight,imageUrl,originalListingUrl
18,Ford Fiesta Titanium #18,Ford,Fiesta,Titanium,11822,2022,14466,Diesel,Manual,128,SW8,Local Garage,AutoMart London,Dec 2026,2026-06-19,73,£218 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/18
19,BMW 118i Sport #19,BMW,118i,Sport,12201,2023,14603,Hybrid,Automatic,135,SW9,Partner Dealer,City Motors,Dec 2026,2026-06-20,74,£219 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/19
20,Toyota Yaris Hybrid #20,Toyota,Yaris,Hybrid,12580,2024,14740,Electric,Manual,142,SW10,eBay,Premium Cars Ltd,Dec 2026,2026-06-21,75,£220 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/20
21,Audi A3 TDI Sport #21,Audi,A3,TDI Sport,12959,2025,14877,Petrol,Automatic,149,SW11,Dealer Site,Green Drive Motors,Dec 2026,2026-06-22,76,£221 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/21
22,Nissan Leaf Tekna #22,Nissan,Leaf,Tekna,13338,2015,15014,Diesel,Manual,6,SW12,Local Garage,Direct Autos,Dec 2026,2026-06-23,77,£222 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/22
23,Honda Civic i-VTEC #23,Honda,Civic,i-VTEC,13717,2016,15151,Hybrid,Automatic,13,SW13,Partner Dealer,EV Specialists,Dec 2026,2026-06-24,78,£223 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/23
24,Mazda 3 SE-L #24,Mazda,3,SE-L,14096,2017,15288,Electric,Manual,20,SW14,eBay,AutoMart London,Dec 2026,2026-06-25,79,£224 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/24
25,Volkswagen Golf 1.5 TSI #25,Volkswagen,Golf,1.5 TSI,14475,2018,15425,Petrol,Automatic,27,SW15,Dealer Site,City Motors,Dec 2026,2026-06-26,80,£225 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/25
26,Ford Fiesta Titanium #26,Ford,Fiesta,Titanium,14854,2019,15562,Diesel,Manual,34,SW16,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-27,81,£226 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/26
27,BMW 118i Sport #27,BMW,118i,Sport,15233,2020,15699,Hybrid,Automatic,41,SW17,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-28,82,£227 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/27
28,Toyota Yaris Hybrid #28,Toyota,Yaris,Hybrid,15612,2021,15836,Electric,Manual,48,SW18,eBay,Direct Autos,Dec 2026,2026-06-01,83,£228 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/28
29,Audi A3 TDI Sport #29,Audi,A3,TDI Sport,15991,2022,15973,Petrol,Automatic,55,SW19,Dealer Site,EV Specialists,Dec 2026,2026-06-02,84,£229 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/29
30,Nissan Leaf Tekna #30,Nissan,Leaf,Tekna,16370,2023,16110,Diesel,Manual,62,SW0,Local Garage,AutoMart London,Dec 2026,2026-06-03,85,£230 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/30
31,Honda Civic i-VTEC #31,Honda,Civic,i-VTEC,16749,2024,16247,Hybrid,Automatic,69,SW1,Partner Dealer,City Motors,Dec 2026,2026-06-04,86,£231 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/31
32,Mazda 3 SE-L #32,Mazda,3,SE-L,17128,2025,16384,Electric,Manual,76,SW2,eBay,Premium Cars Ltd,Dec 2026,2026-06-05,87,£232 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/32
33,Volkswagen Golf 1.5 TSI #33,Volkswagen,Golf,1.5 TSI,17507,2015,16521,Petrol,Automatic,83,SW3,Dealer Site,Green Drive Motors,Dec 2026,2026-06-06,88,£233 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/33
34,Ford Fiesta Titanium #34,Ford,Fiesta,Titanium,17886,2016,16658,Diesel,Manual,90,SW4,Local Garage,Direct Autos,Dec 2026,2026-06-07,89,£234 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/34
35,BMW 118i Sport #35,BMW,118i,Sport,18265,2017,16795,Hybrid,Automatic,97,SW5,Partner Dealer,EV Specialists,Dec 2026,2026-06-08,90,£235 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/35
36,Toyota Yaris Hybrid #36,Toyota,Yaris,Hybrid,18644,2018,16932,Electric,Manual,104,SW6,eBay,AutoMart London,Dec 2026,2026-06-09,91,£236 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/36
37,Audi A3 TDI Sport #37,Audi,A3,TDI Sport,19023,2019,17069,Petrol,Automatic,111,SW7,Dealer Site,City Motors,Dec 2026,2026-06-10,92,£237 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/37
38,Nissan Leaf Tekna #38,Nissan,Leaf,Tekna,19402,2020,17206,Diesel,Manual,118,SW8,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-11,93,£238 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/38
39,Honda Civic i-VTEC #39,Honda,Civic,i-VTEC,19781,2021,17343,Hybrid,Automatic,125,SW9,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-12,94,£239 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/39
40,Mazda 3 SE-L #40,Mazda,3,SE-L,20160,2022,17480,Electric,Manual,132,SW10,eBay,Direct Autos,Dec 2026,2026-06-13,95,£240 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/40
41,Volkswagen Golf 1.5 TSI #41,Volkswagen,Golf,1.5 TSI,20539,2023,17617,Petrol,Automatic,139,SW11,Dealer Site,EV Specialists,Dec 2026,2026-06-14,96,£241 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/41
42,Ford Fiesta Titanium #42,Ford,Fiesta,Titanium,20918,2024,17754,Diesel,Manual,146,SW12,Local Garage,AutoMart London,Dec 2026,2026-06-15,97,£242 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/42
43,BMW 118i Sport #43,BMW,118i,Sport,21297,2025,17891,Hybrid,Automatic,3,SW13,Partner Dealer,City Motors,Dec 2026,2026-06-16,55,£243 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/43
44,Toyota Yaris Hybrid #44,Toyota,Yaris,Hybrid,21676,2015,18028,Electric,Manual,10,SW14,eBay,Premium Cars Ltd,Dec 2026,2026-06-17,56,£244 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/44
45,Audi A3 TDI Sport #45,Audi,A3,TDI Sport,22055,2016,18165,Petrol,Automatic,17,SW15,Dealer Site,Green Drive Motors,Dec 2026,2026-06-18,57,£245 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/45
46,Nissan Leaf Tekna #46,Nissan,Leaf,Tekna,22434,2017,18302,Diesel,Manual,24,SW16,Local Garage,Direct Autos,Dec 2026,2026-06-19,58,£246 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/46
47,Honda Civic i-VTEC #47,Honda,Civic,i-VTEC,22813,2018,18439,Hybrid,Automatic,31,SW17,Partner Dealer,EV Specialists,Dec 2026,2026-06-20,59,£247 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/47
48,Mazda 3 SE-L #48,Mazda,3,SE-L,23192,2019,18576,Electric,Manual,38,SW18,eBay,AutoMart London,Dec 2026,2026-06-21,60,£248 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/48
49,Volkswagen Golf 1.5 TSI #49,Volkswagen,Golf,1.5 TSI,23571,2020,18713,Petrol,Automatic,45,SW19,Dealer Site,City Motors,Dec 2026,2026-06-22,61,£249 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/49
50,Ford Fiesta Titanium #50,Ford,Fiesta,Titanium,23950,2021,18850,Diesel,Manual,52,SW0,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-23,62,£250 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/50
51,BMW 118i Sport #51,BMW,118i,Sport,24329,2022,18987,Hybrid,Automatic,59,SW1,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-24,63,£251 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/51
52,Toyota Yaris Hybrid #52,Toyota,Yaris,Hybrid,24708,2023,19124,Electric,Manual,66,SW2,eBay,Direct Autos,Dec 2026,2026-06-25,64,£252 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/52
53,Audi A3 TDI Sport #53,Audi,A3,TDI Sport,25087,2024,19261,Petrol,Automatic,73,SW3,Dealer Site,EV Specialists,Dec 2026,2026-06-26,65,£253 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/53
54,Nissan Leaf Tekna #54,Nissan,Leaf,Tekna,25466,2025,19398,Diesel,Manual,80,SW4,Local Garage,AutoMart London,Dec 2026,2026-06-27,66,£254 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/54
55,Honda Civic i-VTEC #55,Honda,Civic,i-VTEC,25845,2015,19535,Hybrid,Automatic,87,SW5,Partner Dealer,City Motors,Dec 2026,2026-06-28,67,£255 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/55
56,Mazda 3 SE-L #56,Mazda,3,SE-L,26224,2016,19672,Electric,Manual,94,SW6,eBay,Premium Cars Ltd,Dec 2026,2026-06-01,68,£256 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/56
57,Volkswagen Golf 1.5 TSI #57,Volkswagen,Golf,1.5 TSI,26603,2017,19809,Petrol,Automatic,101,SW7,Dealer Site,Green Drive Motors,Dec 2026,2026-06-02,69,£257 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/57
58,Ford Fiesta Titanium #58,Ford,Fiesta,Titanium,26982,2018,19946,Diesel,Manual,108,SW8,Local Garage,Direct Autos,Dec 2026,2026-06-03,70,£258 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/58
59,BMW 118i Sport #59,BMW,118i,Sport,27361,2019,20083,Hybrid,Automatic,115,SW9,Partner Dealer,EV Specialists,Dec 2026,2026-06-04,71,£259 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/59
60,Toyota Yaris Hybrid #60,Toyota,Yaris,Hybrid,27740,2020,20220,Electric,Manual,122,SW10,eBay,AutoMart London,Dec 2026,2026-06-05,72,£260 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/60
61,Audi A3 TDI Sport #61,Audi,A3,TDI Sport,28119,2021,20357,Petrol,Automatic,129,SW11,Dealer Site,City Motors,Dec 2026,2026-06-06,73,£261 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/61
62,Nissan Leaf Tekna #62,Nissan,Leaf,Tekna,28498,2022,20494,Diesel,Manual,136,SW12,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-07,74,£262 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/62
63,Honda Civic i-VTEC #63,Honda,Civic,i-VTEC,28877,2023,20631,Hybrid,Automatic,143,SW13,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-08,75,£263 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/63
64,Mazda 3 SE-L #64,Mazda,3,SE-L,29256,2024,20768,Electric,Manual,150,SW14,eBay,Direct Autos,Dec 2026,2026-06-09,76,£264 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/64
65,Volkswagen Golf 1.5 TSI #65,Volkswagen,Golf,1.5 TSI,29635,2025,20905,Petrol,Automatic,7,SW15,Dealer Site,EV Specialists,Dec 2026,2026-06-10,77,£265 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/65
66,Ford Fiesta Titanium #66,Ford,Fiesta,Titanium,30014,2015,21042,Diesel,Manual,14,SW16,Local Garage,AutoMart London,Dec 2026,2026-06-11,78,£266 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/66
67,BMW 118i Sport #67,BMW,118i,Sport,30393,2016,21179,Hybrid,Automatic,21,SW17,Partner Dealer,City Motors,Dec 2026,2026-06-12,79,£267 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/67
68,Toyota Yaris Hybrid #68,Toyota,Yaris,Hybrid,30772,2017,21316,Electric,Manual,28,SW18,eBay,Premium Cars Ltd,Dec 2026,2026-06-13,80,£268 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/68
69,Audi A3 TDI Sport #69,Audi,A3,TDI Sport,5151,2018,21453,Petrol,Automatic,35,SW19,Dealer Site,Green Drive Motors,Dec 2026,2026-06-14,81,£269 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/69
70,Nissan Leaf Tekna #70,Nissan,Leaf,Tekna,5530,2019,21590,Diesel,Manual,42,SW0,Local Garage,Direct Autos,Dec 2026,2026-06-15,82,£270 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/70
71,Honda Civic i-VTEC #71,Honda,Civic,i-VTEC,5909,2020,21727,Hybrid,Automatic,49,SW1,Partner Dealer,EV Specialists,Dec 2026,2026-06-16,83,£271 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/71
72,Mazda 3 SE-L #72,Mazda,3,SE-L,6288,2021,21864,Electric,Manual,56,SW2,eBay,AutoMart London,Dec 2026,2026-06-17,84,£272 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/72
73,Volkswagen Golf 1.5 TSI #73,Volkswagen,Golf,1.5 TSI,6667,2022,22001,Petrol,Automatic,63,SW3,Dealer Site,City Motors,Dec 2026,2026-06-18,85,£273 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/73
74,Ford Fiesta Titanium #74,Ford,Fiesta,Titanium,7046,2023,22138,Diesel,Manual,70,SW4,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-19,86,£274 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/74
75,BMW 118i Sport #75,BMW,118i,Sport,7425,2024,22275,Hybrid,Automatic,77,SW5,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-20,87,£275 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/75
76,Toyota Yaris Hybrid #76,Toyota,Yaris,Hybrid,7804,2025,22412,Electric,Manual,84,SW6,eBay,Direct Autos,Dec 2026,2026-06-21,88,£276 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/76
77,Audi A3 TDI Sport #77,Audi,A3,TDI Sport,8183,2015,22549,Petrol,Automatic,91,SW7,Dealer Site,EV Specialists,Dec 2026,2026-06-22,89,£277 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/77
78,Nissan Leaf Tekna #78,Nissan,Leaf,Tekna,8562,2016,22686,Diesel,Manual,98,SW8,Local Garage,AutoMart London,Dec 2026,2026-06-23,90,£278 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/78
79,Honda Civic i-VTEC #79,Honda,Civic,i-VTEC,8941,2017,22823,Hybrid,Automatic,105,SW9,Partner Dealer,City Motors,Dec 2026,2026-06-24,91,£279 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/79
80,Mazda 3 SE-L #80,Mazda,3,SE-L,9320,2018,22960,Electric,Manual,112,SW10,eBay,Premium Cars Ltd,Dec 2026,2026-06-25,92,£280 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/80
81,Volkswagen Golf 1.5 TSI #81,Volkswagen,Golf,1.5 TSI,9699,2019,23097,Petrol,Automatic,119,SW11,Dealer Site,Green Drive Motors,Dec 2026,2026-06-26,93,£281 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/81
82,Ford Fiesta Titanium #82,Ford,Fiesta,Titanium,10078,2020,23234,Diesel,Manual,126,SW12,Local Garage,Direct Autos,Dec 2026,2026-06-27,94,£282 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/82
83,BMW 118i Sport #83,BMW,118i,Sport,10457,2021,23371,Hybrid,Automatic,133,SW13,Partner Dealer,EV Specialists,Dec 2026,2026-06-28,95,£283 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/83
84,Toyota Yaris Hybrid #84,Toyota,Yaris,Hybrid,10836,2022,23508,Electric,Manual,140,SW14,eBay,AutoMart London,Dec 2026,2026-06-01,96,£284 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/84
85,Audi A3 TDI Sport #85,Audi,A3,TDI Sport,11215,2023,23645,Petrol,Automatic,147,SW15,Dealer Site,City Motors,Dec 2026,2026-06-02,97,£285 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/85
86,Nissan Leaf Tekna #86,Nissan,Leaf,Tekna,11594,2024,23782,Diesel,Manual,4,SW16,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-03,55,£286 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/86
87,Honda Civic i-VTEC #87,Honda,Civic,i-VTEC,11973,2025,23919,Hybrid,Automatic,11,SW17,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-04,56,£287 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/87
88,Mazda 3 SE-L #88,Mazda,3,SE-L,12352,2015,24056,Electric,Manual,18,SW18,eBay,Direct Autos,Dec 2026,2026-06-05,57,£288 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/88
89,Volkswagen Golf 1.5 TSI #89,Volkswagen,Golf,1.5 TSI,12731,2016,24193,Petrol,Automatic,25,SW19,Dealer Site,EV Specialists,Dec 2026,2026-06-06,58,£289 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/89
90,Ford Fiesta Titanium #90,Ford,Fiesta,Titanium,13110,2017,24330,Diesel,Manual,32,SW0,Local Garage,AutoMart London,Dec 2026,2026-06-07,59,£290 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/90
91,BMW 118i Sport #91,BMW,118i,Sport,13489,2018,24467,Hybrid,Automatic,39,SW1,Partner Dealer,City Motors,Dec 2026,2026-06-08,60,£291 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/91
92,Toyota Yaris Hybrid #92,Toyota,Yaris,Hybrid,13868,2019,24604,Electric,Manual,46,SW2,eBay,Premium Cars Ltd,Dec 2026,2026-06-09,61,£292 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/92
93,Audi A3 TDI Sport #93,Audi,A3,TDI Sport,14247,2020,24741,Petrol,Automatic,53,SW3,Dealer Site,Green Drive Motors,Dec 2026,2026-06-10,62,£293 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/93
94,Nissan Leaf Tekna #94,Nissan,Leaf,Tekna,14626,2021,24878,Diesel,Manual,60,SW4,Local Garage,Direct Autos,Dec 2026,2026-06-11,63,£294 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/94
95,Honda Civic i-VTEC #95,Honda,Civic,i-VTEC,15005,2022,25015,Hybrid,Automatic,67,SW5,Partner Dealer,EV Specialists,Dec 2026,2026-06-12,64,£295 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/95
96,Mazda 3 SE-L #96,Mazda,3,SE-L,15384,2023,25152,Electric,Manual,74,SW6,eBay,AutoMart London,Dec 2026,2026-06-13,65,£296 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/96
97,Volkswagen Golf 1.5 TSI #97,Volkswagen,Golf,1.5 TSI,15763,2024,25289,Petrol,Automatic,81,SW7,Dealer Site,City Motors,Dec 2026,2026-06-14,66,£297 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/97
98,Ford Fiesta Titanium #98,Ford,Fiesta,Titanium,16142,2025,25426,Diesel,Manual,88,SW8,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-15,67,£298 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/98
99,BMW 118i Sport #99,BMW,118i,Sport,16521,2015,25563,Hybrid,Automatic,95,SW9,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-16,68,£299 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/99
100,Toyota Yaris Hybrid #100,Toyota,Yaris,Hybrid,16900,2016,25700,Electric,Manual,102,SW10,eBay,Direct Autos,Dec 2026,2026-06-17,69,£300 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/100
101,Audi A3 TDI Sport #101,Audi,A3,TDI Sport,17279,2017,25837,Petrol,Automatic,109,SW11,Dealer Site,EV Specialists,Dec 2026,2026-06-18,70,£301 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/101
102,Nissan Leaf Tekna #102,Nissan,Leaf,Tekna,17658,2018,25974,Diesel,Manual,116,SW12,Local Garage,AutoMart London,Dec 2026,2026-06-19,71,£302 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/102
103,Honda Civic i-VTEC #103,Honda,Civic,i-VTEC,18037,2019,26111,Hybrid,Automatic,123,SW13,Partner Dealer,City Motors,Dec 2026,2026-06-20,72,£303 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/103
104,Mazda 3 SE-L #104,Mazda,3,SE-L,18416,2020,26248,Electric,Manual,130,SW14,eBay,Premium Cars Ltd,Dec 2026,2026-06-21,73,£304 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/104
105,Volkswagen Golf 1.5 TSI #105,Volkswagen,Golf,1.5 TSI,18795,2021,26385,Petrol,Automatic,137,SW15,Dealer Site,Green Drive Motors,Dec 2026,2026-06-22,74,£305 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/105
106,Ford Fiesta Titanium #106,Ford,Fiesta,Titanium,19174,2022,26522,Diesel,Manual,144,SW16,Local Garage,Direct Autos,Dec 2026,2026-06-23,75,£306 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/106
107,BMW 118i Sport #107,BMW,118i,Sport,19553,2023,26659,Hybrid,Automatic,151,SW17,Partner Dealer,EV Specialists,Dec 2026,2026-06-24,76,£307 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/107
108,Toyota Yaris Hybrid #108,Toyota,Yaris,Hybrid,19932,2024,26796,Electric,Manual,8,SW18,eBay,AutoMart London,Dec 2026,2026-06-25,77,£308 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/108
109,Audi A3 TDI Sport #109,Audi,A3,TDI Sport,20311,2025,26933,Petrol,Automatic,15,SW19,Dealer Site,City Motors,Dec 2026,2026-06-26,78,£309 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/109
110,Nissan Leaf Tekna #110,Nissan,Leaf,Tekna,20690,2015,27070,Diesel,Manual,22,SW0,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-27,79,£310 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/110
